CustomerID,OrderID,OrderDate,Returned,ShipDate,SalesPersonID,ShipModeID,RegionID
CC-12430,CA-2017-126221,2017-12-30,Not,2018-05-01,1,1,1
BP-11185,CA-2017-146626,2017-12-29,Not,2018-05-01,2,1,2
JF-15415,CA-2017-164826,2017-12-28,Not,2018-04-01,3,1,3
KB-16600,CA-2017-158673,2017-12-29,Not,2018-04-01,1,1,4
PO-18865,CA-2017-143259,2017-12-30,Not,2018-03-01,3,1,5
EB-13975,CA-2017-115427,2017-12-30,Yes,2018-03-01,2,1,6
EH-14005,CA-2017-127516,2017-12-28,Not,2018-03-01,4,1,7
JM-15580,CA-2017-156720,2017-12-30,Not,2018-03-01,2,1,8
KH-16690,CA-2017-163979,2017-12-28,Not,2018-02-01,2,2,9
JG-15160,CA-2017-118885,2017-12-29,Not,2018-02-01,2,1,10
HM-14860,CA-2017-129805,2017-12-28,Not,2018-02-01,2,1,11
BS-11755,CA-2017-130631,2017-12-29,Yes,2018-02-01,2,1,12
CS-12400,CA-2017-135111,2017-12-28,Not,2018-02-01,1,1,13
GH-14665,CA-2017-136539,2017-12-28,Yes,2018-01-01,1,1,14
PO-18850,US-2017-106705,2017-12-26,Not,2018-01-01,1,1,15
LO-17170,CA-2017-163860,2017-12-28,Not,2018-01-01,1,1,16
KH-16360,US-2017-158526,2017-12-29,Not,2018-01-01,4,2,17
GA-14725,CA-2017-134194,2017-12-25,Yes,2018-01-01,1,1,18
SV-20935,CA-2017-122798,2017-12-28,Not,2018-01-01,2,1,19
KB-16240,CA-2017-136238,2017-12-26,Not,2018-01-01,1,1,20
AH-10210,CA-2017-147956,2017-12-24,Not,2017-12-31,2,1,21
MC-17845,US-2017-102638,2017-12-29,Not,2017-12-31,3,3,22
JL-15175,CA-2017-128734,2017-12-24,Not,2017-12-31,2,1,23
PC-18745,US-2017-162068,2017-12-28,Not,2017-12-31,2,2,8
JG-15310,CA-2017-101322,2017-12-28,Not,2017-12-31,2,3,24
CV-12805,CA-2017-146780,2017-12-25,Not,2017-12-30,3,1,22
SV-20935,US-2017-147669,2017-12-25,Not,2017-12-30,3,1,25
TC-21535,CA-2017-112487,2017-12-26,Not,2017-12-30,3,1,26
JB-16045,CA-2017-110625,2017-12-23,Not,2017-12-30,3,1,27
DP-13105,CA-2017-163671,2017-12-24,Not,2017-12-30,2,1,28
RF-19840,CA-2017-117933,2017-12-24,Not,2017-12-29,3,1,3
RA-19285,CA-2017-161480,2017-12-25,Not,2017-12-29,3,1,22
AR-10540,CA-2017-154935,2017-12-24,Not,2017-12-29,3,1,3
AC-10615,CA-2017-169411,2017-12-24,Not,2017-12-29,3,1,29
MH-18115,CA-2017-114055,2017-12-25,Not,2017-12-29,4,2,30
FH-14365,CA-2017-121398,2017-12-25,Not,2017-12-29,2,1,31
GD-14590,CA-2017-162880,2017-12-25,Not,2017-12-29,2,1,32
PO-18865,CA-2017-108756,2017-12-25,Not,2017-12-29,3,1,33
DB-13210,CA-2017-165841,2017-12-21,Not,2017-12-28,3,1,34
JW-15955,CA-2017-163510,2017-12-25,Not,2017-12-28,4,2,17
HG-15025,CA-2017-169978,2017-12-24,Not,2017-12-28,3,1,35
CS-12355,CA-2017-124296,2017-12-24,Not,2017-12-28,4,1,36
MF-18250,US-2017-162670,2017-12-23,Not,2017-12-28,4,2,37
NC-18535,CA-2017-148355,2017-12-24,Not,2017-12-28,3,1,38
JL-15130,CA-2017-150910,2017-12-22,Yes,2017-12-28,4,1,39
JH-15430,CA-2017-105620,2017-12-25,Not,2017-12-28,4,3,40
SG-20080,CA-2017-155376,2017-12-22,Not,2017-12-27,1,1,41
FM-14215,CA-2017-127929,2017-12-23,Not,2017-12-27,3,1,42
DR-12880,CA-2017-134404,2017-12-27,Not,2017-12-27,3,4,43
SE-20110,CA-2017-144827,2017-12-21,Not,2017-12-27,2,1,44
JG-15310,CA-2017-119578,2017-12-22,Not,2017-12-27,3,2,45
LP-17095,CA-2017-106782,2017-12-21,Not,2017-12-27,1,1,46
DK-12985,CA-2017-140627,2017-12-23,Not,2017-12-27,4,1,47
NS-18505,CA-2017-121195,2017-12-24,Not,2017-12-27,1,3,48
DK-13225,CA-2017-105480,2017-12-20,Not,2017-12-26,3,1,29
JM-15655,CA-2017-115931,2017-12-22,Not,2017-12-26,2,1,49
PK-19075,CA-2017-107461,2017-12-21,Not,2017-12-26,4,2,50
YC-21895,CA-2017-121741,2017-12-26,Not,2017-12-26,1,4,51
AG-10330,CA-2017-104927,2017-12-22,Not,2017-12-26,1,1,52
DK-13150,CA-2017-102197,2017-12-20,Not,2017-12-26,3,1,5
SR-20425,CA-2017-100412,2017-12-22,Not,2017-12-26,4,1,53
CM-12190,CA-2017-146164,2017-12-22,Not,2017-12-26,1,1,54
BN-11515,CA-2017-163405,2017-12-21,Not,2017-12-25,2,1,10
YS-21880,CA-2017-138380,2017-12-21,Not,2017-12-25,2,1,55
TP-21130,CA-2017-120376,2017-12-22,Not,2017-12-25,1,3,56
MM-17920,CA-2017-121216,2017-12-23,Not,2017-12-25,1,2,57
RM-19675,CA-2017-145219,2017-12-24,Not,2017-12-25,2,3,10
JB-15400,CA-2017-117443,2017-12-23,Not,2017-12-25,1,2,58
AG-10330,CA-2017-142909,2017-12-22,Not,2017-12-25,2,2,59
DJ-13630,CA-2017-115602,2017-12-18,Not,2017-12-24,3,1,5
MM-17920,CA-2017-128160,2017-12-19,Not,2017-12-24,2,2,9
JP-15520,CA-2017-145310,2017-12-22,Not,2017-12-24,4,2,60
